run_id,run_name,env_type,planning_steps,planning_percentage,planning_mode,seed,episode_length,final_reward,reward_per_step
dln4wmje,BigFish_5_roll_0_inner_0.1_pct_1_max_reward_seed_0_time_2026-03-31_16-18-32,BigFish,5,0.1,reward,0,251.0,1.0,0.0039840637450199
ogjqe4za,BigFish_5_roll_0_inner_0.1_pct_1_max_reward_seed_1_time_2026-03-31_16-19-17,BigFish,5,0.1,reward,1,47.0,0.0,0.0
8dpx7i0s,BigFish_5_roll_0_inner_0.1_pct_1_max_reward_seed_2_time_2026-03-31_16-19-30,BigFish,5,0.1,reward,2,50.0,0.0,0.0
am1jtpgd,BigFish_5_roll_0_inner_0.1_pct_1_max_reward_seed_3_time_2026-04-02_19-40-30,BigFish,5,0.1,reward,3,84.0,1.0,0.0119047619047619
fyr0c9gu,BigFish_5_roll_0_inner_0.1_pct_1_max_reward_seed_4_time_2026-04-02_19-40-47,BigFish,5,0.1,reward,4,217.0,0.0,0.0
5zwoftnc,BigFish_5_roll_0_inner_0.1_pct_1_max_reward_seed_5_time_2026-04-02_19-41-35,BigFish,5,0.1,reward,5,110.0,3.0,0.0272727272727272
nyxhwzuj,BigFish_5_roll_0_inner_0.1_pct_1_max_reward_seed_6_time_2026-04-02_19-41-59,BigFish,5,0.1,reward,6,370.0,0.0,0.0
23lbbhxv,BigFish_5_roll_0_inner_0.1_pct_1_max_reward_seed_7_time_2026-04-02_19-43-16,BigFish,5,0.1,reward,7,72.0,0.0,0.0
imcbo4uz,BigFish_5_roll_0_inner_0.1_pct_1_max_reward_seed_8_time_2026-04-02_19-43-32,BigFish,5,0.1,reward,8,70.0,0.0,0.0
nznorno2,BigFish_5_roll_0_inner_0.1_pct_1_max_reward_seed_9_time_2026-04-02_19-43-48,BigFish,5,0.1,reward,9,142.0,3.0,0.0211267605633802
apv6jl1d,BigFish_5_roll_0_inner_0.1_pct_1_max_value_seed_0_time_2026-03-31_16-16-56,BigFish,5,0.1,value,0,280.0,2.0,0.0071428571428571
0vths69n,BigFish_5_roll_0_inner_0.1_pct_1_max_value_seed_1_time_2026-03-31_16-18-07,BigFish,5,0.1,value,1,47.0,0.0,0.0
qnxyuepd,BigFish_5_roll_0_inner_0.1_pct_1_max_value_seed_2_time_2026-03-31_16-18-20,BigFish,5,0.1,value,2,59.0,0.0,0.0
