run_id,run_name,env_type,seed,episode_length,final_reward,reward_per_step
5j0tqiaa,Chaser_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-45-58,Chaser,1,132.0,0.8400000929832458,0.0063636370680548926
kjo92ou9,Chaser_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-46-06,Chaser,2,124.0,0.5199999213218689,0.004193547752595717
k26iq79z,Chaser_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-46-14,Chaser,3,100.0,0.559999942779541,0.00559999942779541
9tfecu25,Chaser_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-46-22,Chaser,4,104.0,0.2799999713897705,0.002692307417209332
oolcoc4i,Chaser_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-46-30,Chaser,5,72.0,0.11999999731779099,0.0016666666294137638
k1a5pnfu,Chaser_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-46-37,Chaser,6,68.0,0.3999999463558197,0.005882352152291466
3ahswwwn,Chaser_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-46-45,Chaser,7,68.0,0.23999997973442078,0.0035294114666826583
xnyjvooz,Chaser_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-46-53,Chaser,8,106.0,0.559999942779541,0.005283018328108877
adzcex96,Chaser_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-47-01,Chaser,9,64.0,0.07999999821186066,0.0012499999720603228
qd6l6zhw,Climber_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-56-31,Climber,0,1000.0,1.0,0.001
jaykro9o,Climber_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-56-42,Climber,1,1000.0,1.0,0.001
ck4lkw93,Climber_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-56-54,Climber,2,112.0,11.0,0.09821428571428571
hru2fxhf,Climber_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-57-02,Climber,3,1000.0,0.0,0.0
byn8s3dl,Climber_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-57-14,Climber,4,67.0,0.0,0.0
977fd42q,Climber_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-57-21,Climber,5,1000.0,0.0,0.0
