mode,planning_steps,threshold,inner_steps,reward_mean,reward_std,ep_length_mean,ep_length_std,num_planning_steps_mean,num_planning_steps_std,meta_depth_1_mean,meta_depth_2_mean,meta_depth_3_mean,meta_depth_4_mean,meta_depth_1_std,meta_depth_2_std,meta_depth_3_std,meta_depth_4_std
reward,2,1.5,1,86.0,1.632993161855452,1629.0,55.93448548674303,52.666666666666664,6.548960901462833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,2,1.5,2,86.33333333333333,1.247219128924647,1630.6666666666667,57.04579057408375,52.666666666666664,6.548960901462833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,2,1.5,5,86.0,2.160246899469287,1631.3333333333333,59.63406930792349,52.666666666666664,6.548960901462833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,2,1.0,0,85.33333333333333,4.714045207910316,1718.0,77.54998388136518,243.66666666666666,25.104227178350307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,2,1.0,1,82.0,4.96655480858378,1610.0,122.98238356230809,218.33333333333334,39.718453589679896,0.6666666666666666,0.0,0.0,0.0,0.9428090415820634,0.0,0.0,0.0
reward,2,1.0,2,82.33333333333333,5.185449728701348,1610.0,122.15836715782781,218.33333333333334,39.718453589679896,0.3333333333333333,0.0,0.0,0.0,0.4714045207910317,0.0,0.0,0.0
reward,2,1.0,5,82.0,4.96655480858378,1610.3333333333333,124.11374711216409,218.33333333333334,39.718453589679896,0.6666666666666666,0.0,0.0,0.0,0.4714045207910317,0.0,0.0,0.0
reward,5,2.0,0,91.0,2.449489742783178,1379.3333333333333,54.950482759986336,7.0,2.943920288775949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,5,2.0,1,83.33333333333333,8.576453553512405,1469.3333333333333,60.14611837480084,6.0,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,5,2.0,2,83.0,8.981462390204987,1468.3333333333333,60.933479212079206,6.0,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,5,2.0,5,83.0,8.981462390204987,1468.3333333333333,60.14611837480085,6.0,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,5,1.5,0,96.0,2.160246899469287,1371.6666666666667,91.62362625921814,46.0,6.531972647421808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,5,1.5,1,94.0,0.816496580927726,1473.3333333333333,47.14752261666448,50.0,5.887840577551898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,5,1.5,2,93.66666666666667,1.247219128924647,1476.0,49.50420857529859,50.0,5.887840577551898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,5,1.5,5,94.0,1.632993161855452,1474.3333333333333,47.86323107447813,50.0,5.887840577551898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,5,1.0,0,75.33333333333333,9.977753031397176,1686.0,71.89343966362068,237.33333333333334,18.263503375736967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,5,1.0,1,84.33333333333333,6.018490028422596,1584.6666666666667,116.8598400744337,194.33333333333334,16.21384867602041,1.3333333333333333,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.4714045207910317
reward,5,1.0,2,84.66666666666667,6.182412330330469,1582.0,120.36887748361977,194.33333333333334,16.21384867602041,1.6666666666666667,0.0,0.0,0.0,0.4714045207910317,0.0,0.0,0.0
reward,5,1.0,5,84.33333333333333,6.018490028422596,1581.6666666666667,115.28033464366573,194.33333333333334,16.21384867602041,1.0,0.0,0.0,0.0,0.816496580927726,0.0,0.0,0.0
reward,10,2.0,0,89.33333333333333,4.988876515698588,1432.3333333333333,81.81415253827149,5.666666666666667,1.247219128924647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,10,2.0,1,90.0,2.943920288775949,1524.6666666666667,49.358101890391026,7.0,2.160246899469287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,10,2.0,2,89.66666666666667,3.39934634239519,1524.6666666666667,50.16195991209098,7.0,2.160246899469287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,10,2.0,5,90.0,3.7416573867739413,1523.6666666666667,49.93551397107629,7.0,2.160246899469287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,10,1.5,0,92.0,2.943920288775949,1461.3333333333333,122.49716550008638,48.333333333333336,8.219218670625303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,10,1.5,1,86.66666666666667,5.557777333511022,1450.3333333333333,9.463379711052259,53.333333333333336,7.039570693980959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,10,1.5,2,86.33333333333333,6.018490028422597,1451.0,14.719601443879744,53.333333333333336,7.039570693980959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,10,1.5,5,86.66666666666667,5.557777333511022,1454.3333333333333,12.119772641798562,53.333333333333336,7.039570693980959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,10,1.0,0,79.66666666666667,5.185449728701348,1646.0,189.51165311575608,235.66666666666666,37.18721405118819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,10,1.0,1,90.0,1.632993161855452,1466.3333333333333,33.82635395992631,179.33333333333334,9.843215373488935,3.3333333333333335,0.3333333333333333,0.0,0.0,0.4714045207910317,0.4714045207910317,0.0,0.0
reward,10,1.0,2,90.33333333333333,2.0548046676563256,1464.3333333333333,35.235714205271265,179.33333333333334,9.843215373488935,2.3333333333333335,0.3333333333333333,0.0,0.0,1.699673171197595,0.4714045207910317,0.0,0.0
reward,10,1.0,5,90.33333333333333,2.0548046676563256,1465.0,34.66987164671943,179.33333333333334,9.843215373488935,2.3333333333333335,0.0,0.0,0.0,1.247219128924647,0.0,0.0,0.0
reward,15,2.0,0,89.0,2.943920288775949,1377.6666666666667,13.523641850067197,6.333333333333333,2.6246692913372702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,15,2.0,1,85.0,3.7416573867739413,1536.0,59.352056970813294,7.333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,15,2.0,2,84.66666666666667,4.189935029992178,1539.3333333333333,56.54693232665726,7.333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,15,2.0,5,85.33333333333333,4.109609335312651,1537.0,58.48646567084274,7.333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
