mode,planning_steps,threshold,inner_steps,mean,std
value,2,1.0,1,88.0,5.354126134736337
value,2,1.0,2,88.0,5.354126134736337
value,2,1.0,5,88.0,5.0990195135927845
value,5,2.0,0,90.33333333333333,4.189935029992178
value,5,2.0,1,91.33333333333333,4.189935029992178
value,5,2.0,2,90.66666666666667,4.109609335312651
value,5,2.0,5,90.33333333333333,4.189935029992178
value,5,1.5,0,83.66666666666667,4.496912521077347
value,5,1.5,1,83.33333333333333,4.0276819911981905
value,5,1.5,2,83.66666666666667,3.858612300930075
value,5,1.5,5,83.66666666666667,4.496912521077347
value,5,1.0,0,85.66666666666667,5.2493385826745405
value,5,1.0,1,85.33333333333333,5.436502143433363
value,5,1.0,2,86.0,4.320493798938574
value,5,1.0,5,85.33333333333333,4.784233364802441
value,10,2.0,0,91.66666666666667,3.39934634239519
value,10,2.0,1,92.0,2.943920288775949
value,10,2.0,2,92.0,2.943920288775949
value,10,2.0,5,91.33333333333333,3.0912061651652345
value,10,1.5,0,88.66666666666667,2.494438257849294
value,10,1.5,1,89.0,2.943920288775949
value,10,1.5,2,88.66666666666667,3.2998316455372216
value,10,1.5,5,88.66666666666667,2.8674417556808756
value,10,1.0,0,86.66666666666667,4.496912521077347
value,10,1.0,1,86.0,4.898979485566356
value,10,1.0,2,86.0,4.898979485566356
value,10,1.0,5,86.33333333333333,4.9216076867444665
value,15,2.0,0,88.0,1.632993161855452
value,15,2.0,1,88.0,1.632993161855452
value,15,2.0,2,88.66666666666667,2.0548046676563256
value,15,2.0,5,88.33333333333333,2.0548046676563256
value,15,1.5,0,88.0,5.715476066494082
value,15,1.5,1,88.0,5.715476066494082
value,15,1.5,2,87.66666666666667,5.436502143433363
value,15,1.5,5,88.0,4.96655480858378
value,15,1.0,0,82.33333333333333,2.8674417556808756
value,15,1.0,1,83.0,3.265986323710904
value,15,1.0,2,83.0,3.265986323710904
value,15,1.0,5,82.33333333333333,2.8674417556808756
value,20,2.0,0,89.66666666666667,3.39934634239519
value,20,2.0,1,90.33333333333333,3.0912061651652345
value,20,2.0,2,90.33333333333333,3.858612300930075
value,20,2.0,5,90.33333333333333,3.2998316455372216
value,20,1.5,0,85.0,8.04155872120988
value,20,1.5,1,85.33333333333333,8.178562764256865
value,20,1.5,2,84.66666666666667,7.717224601860151
value,20,1.5,5,84.66666666666667,7.717224601860151
value,20,1.0,0,87.66666666666667,0.9428090415820634
value,20,1.0,1,87.33333333333333,1.247219128924647
value,20,1.0,2,88.0,1.632993161855452
value,20,1.0,5,87.66666666666667,1.247219128924647
