env_type,planning_steps,planning_percentage,planning_mode,n_seeds_all,seeds_all,reward_mean_all,reward_std_all,episode_length_mean_all,episode_length_std_all,n_seeds_ratio,seeds_ratio,reward_per_step_mean,reward_per_step_std
Ninja,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,380.9,278.9600150559216,10,"0,1,2,3,4,5,6,7,8,9",0.008810743673342648,0.017621701078036595
Ninja,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,373.9,290.37784006359715,10,"0,1,2,3,4,5,6,7,8,9",0.010309532618078678,0.02152438367511856
Plunder,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",0.7,0.6403124237432849,598.1,65.88694863172827,10,"0,1,2,3,4,5,6,7,8,9",0.0011730748668391596,0.0010453471853337883
Plunder,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",1.7,1.0049875621120892,618.2,54.019996297667404,10,"0,1,2,3,4,5,6,7,8,9",0.002713211164708099,0.0014768450082919995
Plunder,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",2.1,1.445683229480096,581.5,125.85646586488912,10,"0,1,2,3,4,5,6,7,8,9",0.0033320271945619234,0.00197622458179803
Plunder,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",4.0,1.8439088914585775,502.7,112.09553960796121,10,"0,1,2,3,4,5,6,7,8,9",0.007543932872695273,0.0027930766536796276
StarPilot,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",0.7,1.268857754044952,60.5,16.33554406807438,10,"0,1,2,3,4,5,6,7,8,9",0.009196964017991005,0.015226113612090711
StarPilot,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",0.8,1.2489995996796797,64.4,18.451016232175395,10,"0,1,2,3,4,5,6,7,8,9",0.009699118346783598,0.014860088547990305
StarPilot,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",0.7,0.9,60.8,17.514565367145142,10,"0,1,2,3,4,5,6,7,8,9",0.010179135030887052,0.013003460684944602
StarPilot,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",1.6,2.0099751242241783,75.8,42.602347353168234,10,"0,1,2,3,4,5,6,7,8,9",0.016592892365006308,0.018131200879526944
